word,up,down,total,polar_score,polarity
핀다/VV,18,7,25,2.3306935325095917,Hawkish
긍정적/VAX;안정/NNG;상향/NNG,18,11,29,1.4831686115970129,Hawkish
초중/NNG,28,19,47,1.3357191005025728,Hawkish
분양시장/NNG,55,31,86,1.608095000029019,Hawkish
연금보험/NNG,26,13,39,1.8127616363963488,Hawkish
헤드라인/NNG,936,587,1523,1.445268221181416,Hawkish
이자/NNG;부담/NNG;완화/NNG,12,7,19,1.5537956883397277,Hawkish
트론/NNG,94,63,157,1.3523777287401333,Hawkish
성적/NNG,56,38,94,1.3357191005025728,Hawkish
힘쓰/VV,17,8,25,1.9260592386711206,Hawkish
사정/NNG,215,141,356,1.3820700419333865,Hawkish
방편/NNG,14,6,20,2.1148885757957405,Hawkish
fed/NNG;금리/NNG;인상/NNG;가속/NNG,15,4,19,3.398928068243154,Hawkish
초초/MAG,45,29,74,1.406452993755788,Hawkish
호반/NNG,32,11,43,2.6367441983946893,Hawkish
미사일/NNG,227,70,297,2.9392635104426517,Hawkish
감정/NNG,16,11,27,1.3183720991973447,Hawkish
당한/VV,15,7,22,1.9422446104246596,Hawkish
총파업/NNG,14,7,21,1.812761636396349,Hawkish
우수/NNG,718,483,1201,1.3473735558308266,Hawkish
진공/NNG,83,52,135,1.4467232290470862,Hawkish
bb등급/NNG,78,34,112,2.079344229984047,Hawkish
다분히/MAG,39,27,66,1.309216737397363,Hawkish
고발/NNG,29,11,40,2.3895494297951876,Hawkish
적체/NNG,36,10,46,3.262970945513428,Hawkish
노동자/NNG,135,68,203,1.7994325067169639,Hawkish
역마진/NNG,62,41,103,1.3706246519094345,Hawkish
신용/NNG;개선/NNG,19,11,30,1.5655668677968468,Hawkish
이표/NNG,385,268,653,1.302076921665288,Hawkish
어긋나/VV,26,15,41,1.5710600848768357,Hawkish
근로시간/NNG,98,54,152,1.6449133367300204,Hawkish
불균형/NNG;완화/NNG,40,23,63,1.5763144664316078,Hawkish
다우/VV,16,5,21,2.9004186182341583,Hawkish
대손충당금/NNG,194,103,297,1.7071638711693773,Hawkish
수출/NNG;경기/NNG;부진/NNG,19,6,25,2.870205924294219,Hawkish
미지근/NNG,14,7,21,1.812761636396349,Hawkish
ecb/NNG;통화/NNG;긴축/NNG,13,7,20,1.6832786623680382,Hawkish
바라봤/VV,22,9,31,2.2155975555955374,Hawkish
소비자/NNG;물가/NNG;예상/NNG;높/VA,24,9,33,2.417015515195132,Hawkish
양키본드/NNG,19,2,21,8.610617772882657,Hawkish
채국/NNG,18,10,28,1.631485472756714,Hawkish
맹점/NNG,33,19,52,1.574240368449461,Hawkish
윤창/NNG,173,60,233,2.6133980258047362,Hawkish
소비자/NNG;물가/NNG;완화/NNG,26,7,33,3.3665573247360765,Hawkish
판매/NNG;부진/NNG,18,9,27,1.812761636396349,Hawkish
들어서야/VV,14,4,18,3.1723328636936103,Hawkish
롱스탑/NNG,24,12,36,1.8127616363963488,Hawkish
아세안+3/NNG,20,2,22,9.063808181981745,Hawkish
어도/NNG,13,7,20,1.6832786623680382,Hawkish
상상화/NNG,17,10,27,1.5408473909368965,Hawkish
가격/NNG;소폭/MAG;하락/NNG,14,7,21,1.812761636396349,Hawkish
국채/NNG;발행/NNG;성공/NNG,11,7,18,1.424312714311417,Hawkish
소비/NNG;둔화/NNG;우려/NNG,13,8,21,1.4728688295720334,Hawkish
부동산/NNG;경기/NNG;악화/NNG,15,9,24,1.5106346969969573,Hawkish
경기/NNG;둔화/NNG;우려/NNG;확대/NNG,15,9,24,1.5106346969969573,Hawkish
낮/VA;성장/NNG,27,8,35,3.0590352614188387,Hawkish
부정적/VAX;하향/NNG,16,11,27,1.3183720991973447,Hawkish
강수량/NNG,31,9,40,3.121978373793712,Hawkish
시범/NNG,47,31,78,1.374190272752071,Hawkish
탐욕/NNG,21,6,27,3.1723328636936103,Hawkish
무착륙/NNG,12,8,20,1.3595712272972615,Hawkish
금리/NNG;회복/NNG,11,6,17,1.661698166696653,Hawkish
회사채/NNG;금리/NNG;하락/NNG,11,6,17,1.661698166696653,Hawkish
자금사정/NNG,86,51,137,1.528406869902804,Hawkish
전망/NNG;위험/NNG,48,27,75,1.6113436767967546,Hawkish
훈련/NNG,70,39,109,1.6268373659967232,Hawkish
국고채/NNG;금리/NNG;인하/NNG,32,17,49,1.7061285989612696,Hawkish
광역/NNG,25,13,38,1.7430400349964892,Hawkish
강달러/NNG,312,150,462,1.885272101852203,Hawkish
입찰자/NNG,27,8,35,3.0590352614188387,Hawkish
과도/NNG;긴축/NNG,25,12,37,1.8882933712461967,Hawkish
중고차/NNG,132,52,184,2.300812846195366,Hawkish
은행업계/NNG,11,6,17,1.661698166696653,Hawkish
스쿨/NNG,13,5,18,2.3565901273152536,Hawkish
가져/VV,33,21,54,1.424312714311417,Hawkish
순운전자본/NNG,21,2,23,9.516998591080831,Hawkish
평판/NNG,19,12,31,1.4351029621471094,Hawkish
폐쇄/NNG;우려/NNG,15,8,23,1.699464034121577,Hawkish
정치/NNG;위험/NNG;확대/NNG,12,8,20,1.3595712272972615,Hawkish
건설현장/NNG,21,12,33,1.5861664318468052,Hawkish
